AN,DT_ACCDN,HR_ACCDN,JR_SEMN_ACCDN,ID_GR,NB_MORT_C,NB_BLESE_GRAVE_C,NB_BLESE_LEGER_C,NB_VICTIMES,NB_VEH_ACCDN_C,IN_ACCDN_CHMIN_PBL,CD_MUNCP,NO_ROUTE,BORNE_KM_ACCDN,CD_PNT_CDRNL_ROUTE,NO_CIVIQ_ACCDN,SFX_NO_CIVIQ_ACCDN,RUE_ACCDN,TP_REPRR_ACCDN,ACCDN_PRES_DE,CD_PNT_CDRNL_REPRR,NB_METRE_DIST_ACCD,CD_ASPCT_ROUTE,CD_CATEG_ROUTE,CD_CONFG_ROUTE,CD_ENVRN_ACCDN,CD_LOCLN_ACCDN,VITSS_AUTOR,CD_COND_METEO,CD_ECLRM,CD_ETAT_CHASS,CD_ETAT_SURFC,CD_POSI_ACCDN,CD_IMPAC_ACCDN,CYC_MORT,CYC_GRAVE,CYC_LEGER,CYC_TOTAL,TYP_VEH_1,TYP_VEH_2,TYP_VEH_3,TYP_VEH_4,TYP_VEH_5,TYP_VEH_6,TYP_VEH_7,TYP_VEH_8,TYP_VEH_9,MOUV_VEH_1,MOUV_VEH_2,MOUV_VEH_3,MOUV_VEH_4,MOUV_VEH_5,MOUV_VEH_6,MOUV_VEH_7,MOUV_VEH_8,MOUV_VEH_9,SIGN_VEH_1,SIGN_VEH_2,SIGN_VEH_3,SIGN_VEH_4,SIGN_VEH_5,SIGN_VEH_6,SIGN_VEH_7,SIGN_VEH_8,SIGN_VEH_9
2014,2014-01-07,1:30,MA,3,0,0,1,1,2,O,66023,,,,,,IBERVILLE,,MT ROYAL,,,,,,3,,50,11,3,1,11,06,33,0,0,1,1,61,76,,,,,,,,41,41,,,,,,,,ND,ND,,,,,,,
2014,2014-01-11,6:39,SA,3,0,0,1,1,2,O,53052,132,,,,,MARIE VICTORIN,1,DECELLES,,,11,12,2,2,32,50,14,1,1,18,06,21,0,0,1,1,61,76,,,,,,,,41,41,,,,,,,,37,99,,,,,,,
2014,2014-01-15,6:49,ME,3,0,0,1,1,2,O,54008,235,,,,,GD RG ST FRANCOIS,1,RG EMILEVILLE,N,100,12,12,2,5,34,90,11,2,1,11,06,99,0,0,1,1,61,76,,,,,,,,41,41,,,,,,,,31,31,,,,,,,
2014,2014-01-18,19:40,SA,3,0,0,1,1,2,O,47017,,,,,,MAISONNEUVE,1,SIMONDS S,,,11,14,2,2,32,50,12,3,1,11,06,21,0,0,1,1,61,76,,,,,,,,41,41,,,,,,,,40,40,,,,,,,
2014,2014-01-22,21:15,ME,3,0,0,1,1,2,O,66023,,,,,,MT ROYAL,1,HENRI DESLONGCHAMPS,,,11,14,2,2,32,40,11,3,1,17,06,26,0,0,1,1,68,76,,,,,,,,44,41,,,,,,,,31,31,,,,,,,
2014,2014-01-22,7:00,ME,3,0,0,1,1,2,O,65005,,,,,,BD DAGENAIS,1,BD WILLIAM PRICE,,,11,13,3,4,32,50,12,1,1,11,06,21,0,0,1,1,61,76,,,,,,,,45,41,,,,,,,,40,40,,,,,,,
2014,2014-01-23,22:56,JE,3,0,0,1,1,2,O,57030,,,,,,PRINCE EDWARD,1,BARRE,E,,11,14,2,2,32,50,12,4,1,16,06,21,0,0,1,1,61,76,,,,,,,,41,41,,,,,,,,40,40,,,,,,,
2014,2014-01-24,16:43,VE,3,0,0,1,1,2,O,81017,,,,,,BD MAISONNEUVE,1,PAPINEAU,S,200,11,13,5,3,34,50,11,1,1,11,09,99,0,0,1,1,61,76,,,,,,,,43,41,,,,,,,,31,31,,,,,,,
2014,2014-01-28,8:00,MA,3,0,0,1,1,3,O,66025,,,,07094,,CHRISTOPHE COLOMB,1,JEAN TALON,S,10,11,14,3,2,33,50,11,1,1,12,06,99,0,0,1,1,61,76,61,,,,,,,41,41,49,,,,,,,31,31,ND,,,,,,
2014,2014-01-31,16:25,VE,3,0,0,1,1,2,O,56083,,,,,,BD ST LUC,1,COURVILLE,E,,11,13,5,1,32,50,12,1,1,12,06,99,0,0,1,1,76,ND,,,,,,,,99,41,,,,,,,,33,33,,,,,,,
2014,2014-02-01,17:05,SA,3,0,0,1,1,2,N,10043,,,,00157,,ST GERMAIN O,,,,,11,13,2,3,32,50,12,3,1,15,,99,0,0,1,1,61,76,,,,,,,,41,41,,,,,,,,31,31,,,,,,,
2014,2014-02-02,16:25,DI,3,0,0,1,1,2,O,66023,,,,,,IBERVILLE,2,JOURDAIN,S,10,13,13,3,3,34,50,12,2,1,12,,21,0,0,1,1,76,61,,,,,,,,ND,41,,,,,,,,ND,31,,,,,,,
2014,2014-02-19,8:54,ME,3,0,0,1,1,2,O,66023,,,,01874,,RACHEL E,1,PAPINEAU,,,11,13,3,1,32,50,11,1,1,12,06,99,0,0,1,1,62,76,,,,,,,,43,41,,,,,,,,31,31,,,,,,,
2014,2014-02-23,14:38,DI,3,0,0,1,1,2,O,66023,,,,07401,,NEWMAN,,,,,11,13,3,3,34,50,11,1,1,11,06,99,0,0,1,1,61,76,,,,,,,,41,41,,,,,,,,40,31,,,,,,,
2014,2014-02-26,20:25,ME,3,0,0,1,1,2,O,66023,,,,,,DE LORIMIER,1,ROUEN,,,11,13,3,2,32,50,11,3,,12,06,27,0,0,1,1,61,76,,,,,,,,44,41,,,,,,,,99,99,,,,,,,
2014,2014-02-28,22:35,VE,3,0,0,1,1,2,,23027,,,,,,18E RUE,1,8E AV,E,150,13,13,3,3,39,50,11,3,,12,06,99,0,0,1,1,61,76,,,,,,,,41,41,,,,,,,,31,31,,,,,,,
2014,2014-03-01,23:30,SA,3,0,0,1,1,2,O,66023,,,,,,ARMAND BOMBARDIER,1,ANDRE AMPERE,,,11,14,2,2,32,,11,3,1,11,,99,0,0,1,1,61,76,,,,,,,,41,ND,,,,,,,,34,ND,,,,,,,
2014,2014-03-03,18:38,LU,3,0,0,1,1,2,O,66023,,,,,,STE CATHERINE,1,CHAMPLAIN,,,11,14,3,2,32,50,11,3,1,12,06,21,0,0,1,1,61,76,,,,,,,,41,41,,,,,,,,40,31,,,,,,,
2014,2014-03-04,16:50,MA,3,0,0,1,1,2,O,66023,,,,,,ST MICHEL,1,BELAIR,,,11,19,1,3,40,,17,1,1,12,09,99,0,0,1,1,61,76,,,,,,,,43,41,,,,,,,,31,31,,,,,,,
2014,2014-03-09,16:10,DI,3,0,0,1,1,2,O,66023,,,,,,GUIZOT,1,ST DENIS,,,11,13,3,3,32,50,11,1,1,11,06,26,0,0,1,1,61,76,,,,,,,,43,41,,,,,,,,33,33,,,,,,,
2014,2014-03-09,16:00,DI,3,0,0,1,1,2,O,67050,,,,,,MARQUETTE,1,ROPER,,,11,14,2,2,32,50,11,1,1,11,06,21,0,0,1,1,61,76,,,,,,,,41,41,,,,,,,,31,31,,,,,,,
2014,2014-03-11,9:00,MA,3,0,0,1,1,2,O,66023,,,,00980,,MAISONNEUVE O,1,METCALFE,,,11,19,1,3,32,50,12,1,1,12,06,21,0,0,1,1,76,68,,,,,,,,41,41,,,,,,,,34,34,,,,,,,
2014,2014-03-11,16:23,MA,2,0,1,0,1,2,O,37067,138,,,,,N-D E,1,DES JONQUILLES,O,20,11,12,2,2,33,70,12,1,1,12,06,99,0,1,0,1,61,76,,,,,,,,57,41,,,,,,,,31,31,,,,,,,
2014,2014-03-12,9:46,ME,3,0,0,1,1,2,O,75017,,,,00700,,MGR DUBOIS,,,,,11,13,9,3,,50,11,1,1,11,07,21,0,0,1,1,61,76,,,,,,,,43,41,,,,,,,,34,34,,,,,,,
2014,2014-03-17,9:30,LU,2,0,1,0,1,2,O,66023,,,,,,,1,SHERBROOKE ET PARC LAFONTAINE,,,13,13,2,2,32,,11,1,1,11,06,99,0,1,0,1,61,76,,,,,,,,44,41,,,,,,,,34,ND,,,,,,,
2014,2014-03-24,15:25,LU,3,0,0,1,1,2,O,43027,,,,03400,,BD INDUSTRIEL,,,,,13,13,2,4,34,50,11,1,1,11,06,99,0,0,1,1,63,76,,,,,,,,43,54,,,,,,,,31,31,,,,,,,
2014,2014-03-26,17:15,ME,3,0,0,1,1,2,O,23027,,,,,,CHAREST O,1,MARIE DE L INCARNATION,E,10,11,13,3,2,34,50,11,1,1,11,06,99,0,0,1,1,62,76,,,,,,,,41,41,,,,,,,,31,31,,,,,,,
2014,2014-03-28,9:30,VE,3,0,0,1,1,2,O,75017,,,,,,FOURNIER,1,DU PALAIS,,,11,13,3,3,32,,14,3,1,15,,21,0,0,1,1,61,76,,,,,,,,43,ND,,,,,,,,40,ND,,,,,,,
2014,2014-04-01,16:28,MA,3,0,0,1,1,2,O,66023,,,,00012,,MARIE ANNE,1,ST LAURENT,O,20,11,14,1,2,33,40,11,1,1,12,06,34,0,0,1,1,61,76,,,,,,,,54,41,,,,,,,,31,31,,,,,,,
2014,2014-04-01,19:06,MA,3,0,0,1,1,2,O,81017,,,,,,BD DU PLATEAU,1,EUROPE,,,21,13,1,2,31,50,11,1,1,11,06,99,0,0,1,1,76,61,,,,,,,,ND,ND,,,,,,,,41,ND,,,,,,,
2014,2014-04-01,16:25,MA,2,0,1,0,1,2,O,75017,,,,00786,,MELANCON,1,FILION,N,100,11,13,3,1,34,50,12,1,1,11,06,99,0,1,0,1,61,76,,,,,,,,41,44,,,,,,,,31,31,,,,,,,
2014,2014-04-02,14:05,ME,3,0,0,1,1,2,O,66023,,,,,,TOWERS,1,BD DE MAISONNEUVE O,,,11,14,1,2,32,,11,1,1,14,05,21,0,0,1,1,76,68,,,,,,,,41,44,,,,,,,,31,40,,,,,,,
2014,2014-04-02,,ME,3,0,0,1,1,2,O,66023,,,,02230,,QUESNEL,1,GEORGES VANIER,E,30,11,14,1,2,33,,11,1,1,11,06,34,0,0,1,1,61,76,,,,,,,,54,41,,,,,,,,31,31,,,,,,,
2014,2014-04-02,17:20,ME,3,0,0,1,1,2,O,65005,,,,00051,,LEVESQUE,1,OLIER ET LEVESQUE,,,11,13,2,3,32,50,11,1,1,11,,99,0,0,1,1,61,76,,,,,,,,41,ND,,,,,,,,31,ND,,,,,,,
2014,2014-04-03,20:50,JE,3,0,0,1,1,2,O,65005,,,,,,MTEE MAJOR,1,BD DES PRAIRIES,,,11,14,2,2,32,50,11,4,1,11,06,99,0,0,1,1,61,76,,,,,,,,44,ND,,,,,,,,40,ND,,,,,,,
2014,2014-04-03,16:30,JE,2,0,1,0,1,2,O,57033,227,,N,,,PRINCIPALE,1,CHABOT,,,11,12,2,3,32,50,11,1,1,11,09,99,0,1,0,1,62,76,,,,,,,,44,41,,,,,,,,31,31,,,,,,,
2014,2014-04-04,23:25,VE,3,0,0,1,1,2,O,66023,,,,02435,,EDOUARD MONTPETIT,,,,,11,14,2,2,32,,14,4,,12,,99,0,0,1,1,61,76,,,,,,,,56,ND,,,,,,,,31,ND,,,,,,,
2014,2014-04-05,15:09,SA,3,0,0,1,1,2,O,37067,,,,,,BD THIBEAU,1,BERLINGUET,,,11,13,3,3,32,50,12,1,1,11,06,21,0,0,1,1,61,76,,,,,,,,41,41,,,,,,,,33,33,,,,,,,
2014,2014-04-06,12:32,DI,3,0,0,1,1,2,,23027,,,,,,RUELLE DES BRAVES,1,PERE MARQUETTE,,,23,14,2,2,32,,11,1,1,11,,99,0,0,1,1,61,76,,,,,,,,41,ND,,,,,,,,31,ND,,,,,,,
2014,2014-04-07,16:12,LU,3,0,0,1,1,2,O,66023,,,,00608,,COTE STE CATHERINE,1,AINSLIE,S,,13,15,2,2,33,40,12,1,1,11,05,28,0,0,1,1,61,76,,,,,,,,ND,ND,,,,,,,,ND,ND,,,,,,,
2014,2014-04-07,16:50,LU,3,0,0,1,1,2,O,12043,,,,,,N-D,1,DUMONT,O,,11,15,2,2,32,50,11,1,1,11,06,21,0,0,1,1,61,76,,,,,,,,41,41,,,,,,,,31,40,,,,,,,
2014,2014-04-08,9:55,MA,3,0,0,1,1,3,O,66023,,,,,,VILLENEUVE,1,ST JOSEPH,,,11,14,2,2,32,50,14,1,1,12,06,26,0,0,1,1,76,61,61,,,,,,,44,41,41,,,,,,,37,37,37,,,,,,
2014,2014-04-09,19:20,ME,3,0,0,1,1,2,,66023,,,O,,,GOUIN,1,MISERICORDE,,,11,13,4,3,32,50,11,3,5,11,06,28,0,0,1,1,61,76,,,,,,,,43,41,,,,,,,,33,33,,,,,,,
2014,2014-04-09,17:00,ME,3,0,0,1,1,2,O,23027,,,,,,DE LA COLLINE,1,DES TREMBLES,,,11,13,2,2,32,50,11,1,1,11,06,28,0,0,1,1,76,ND,,,,,,,,41,ND,,,,,,,,31,ND,,,,,,,
